學校類型,設立別,學校,科系,校系,大考中心學群編號,學群編號編碼,大考中心學類編號,學類編號編碼,學校代碼,學校名稱,科系代碼,科系名稱,校系代碼,校系名稱,學生數,教師數,上學年度畢業生數,縣市名稱,體系別,師生比,一年級人數,二年級人數,三年級人數,四年級人數,大四以上年級人數,延畢人數,人數下滑率,延畢率,教師總數,專任助理教授以上之比例,欄位11,專任助理教授以上總人數,專任講師以上總人數,正副教授比較助理教授及講師講課時數之倍數,專任教授平均每週授課時數,專任副教授平均每週授課時數,專任助理教授平均每週授課時數,專任講師平均每週授課時數,專任其他教師平均每週授課時數,畢業總學分數,專業學分比,通識/共同學分比,畢業專業學分數,畢業通識/共同學分數,畢業實習學分數,畢業其他畢業學分數,123 個學類,大學生興趣碼,大學生興趣碼R,大學生興趣碼I,大學生興趣碼A,大學生興趣碼S,大學生興趣碼E,大學生興趣碼C,職業Holland碼前二碼,職業興趣碼R,職業興趣碼I,職業興趣碼A,職業興趣碼S,職業興趣碼E,職業興趣碼C,命中率,職業Holland碼首碼,首碼職業關聯百分比,前二碼職業關聯百分比,學類所屬學群編號,學類所屬學群名稱,辦理休學率,總休學率,因學業成績與志趣不合總休學率,休學人數整理2_在學學生數,學期內新辦理休學人數小計,因學業成績學期內新辦理休學人數,因志趣不合學期內新辦理休學人數,至學期底總休學人數小計,因學業成績至學期底總休學人數,因志趣不合至學期底總休學人數,退學率,因成績/志趣與逾期退學率,因志趣不合退學率,退學人數整理2_在學學生數,退學人數小計,因學業成績退學人數,因志趣不合退學人數,因逾期未註冊退學人數,因休學逾期未復學退學人數
1,公立,國立政治大學,新聞學系,國立政治大學新聞學系,11,11大眾傳播學群,76,76新聞學類,0001,國立政治大學,03212051,新聞學系,000103212051,國立政治大學新聞學系,133,12,103,30 臺北市,1 一般,9.02%,0,0,38,55,7,33,,33.00%,12,1,1,12,12,13.28,6.28,6,0,0,0,128,0.78125,0.21875,100,28,0,0,新聞學類,AS,0,0,1,1,0,0,EA,0,0,1,0,1,0,4,E,0.36,0.29,11,大眾傳播學群,0.038461538,0.069711538,0.03125,416,16,2,5,29,3,10,0.031674208,0.022624434,0.009049774,221,7,0,2,0,3
1,公立,國立政治大學,會計學系,國立政治大學會計學系,17,17財經學群,115,115會計學類,0001,國立政治大學,04111059,會計學系,000104111059,國立政治大學會計學系,601,19,171,30 臺北市,1 一般,3.16%,160,162,134,114,7,24,10.32%,4.16%,19,1,1,19,19,2.226666667,7.19,8.51,6.5,0,0,142,0.802816901,0.197183099,114,28,0,0,會計學類,CE,0,0,0,0,1,1,CE,0,0,0,0,1,1,6,C,0.65,0.57,17,財經學群,0.009917355,0.033057851,0.010743802,1210,12,0,5,40,0,13,0.013138686,0.011678832,0.004379562,685,9,0,3,0,5
1,公立,國立政治大學,財務管理學系,國立政治大學財務管理學系,17,17財經學群,116,116財務金融學類,0001,國立政治大學,04121065,財務管理學系,000104121065,國立政治大學財務管理學系,287,13,88,30 臺北市,1 一般,4.53%,84,79,59,50,5,10,15.51%,3.61%,13,1,1,13,13,3.52,5.33,7.75,3,0,0,128,0.78125,0.21875,100,28,0,0,財務金融學類,EC,0,0,0,0,1,1,CE,0,0,0,0,1,1,6,C,0.5,0.43,17,財經學群,0.012063898,0.025775028,0.017211704,581,7,0,3,15,0,10,0.020833333,0.020833333,0,192,4,2,0,0,2
1,公立,國立政治大學,金融學系,國立政治大學金融學系,17,17財經學群,116,116財務金融學類,0001,國立政治大學,04121068,金融學系,000104121068,國立政治大學金融學系,360,9,100,30 臺北市,1 一般,2.50%,99,99,75,65,7,15,12.53%,4.35%,9,1,1,9,9,2.605454545,7,6.33,4.5,0,0,128,0.78125,0.21875,100,28,0,0,財務金融學類,EC,0,0,0,0,1,1,CE,0,0,0,0,1,1,6,C,0.5,0.43,17,財經學群,0.019498607,0.061281337,0.026462396,718,14,1,9,44,1,18,0.02173913,0.02173913,0.005434783,368,8,0,2,0,6
1,公立,國立政治大學,財政學系,國立政治大學財政學系,17,17財經學群,118,118財稅學類,0001,國立政治大學,04122070,財政學系,000104122070,國立政治大學財政學系,503,16,138,30 臺北市,1 一般,3.18%,122,128,128,109,2,14,3.31%,2.86%,16,1,1,16,16,2.634285714,7.19,10.25,6,0,0,128,0.78125,0.21875,100,28,0,0,財稅學類,CRE,1,0,0,0,1,1,CE,0,0,0,0,1,1,5,C,0.71,0.71,17,財經學群,0.015688425,0.034218694,0.018572825,1023,16,0,9,35,2,17,0.015341702,0.015341702,0.005578801,717,11,2,4,0,5
1,公立,國立政治大學,風險管理與保險學系,國立政治大學風險管理與保險學系,17,17財經學群,119,119保險學類,0001,國立政治大學,04123069,風險管理與保險學系,000104123069,國立政治大學風險管理與保險學系,288,12,81,30 臺北市,1 一般,4.17%,82,76,62,51,6,11,14.49%,3.97%,12,0.916666667,1,11,12,1.092,7.71,7.67,3,11,0,128,0.78125,0.21875,100,28,0,0,保險學類,EC,0,0,0,0,1,1,CE,0,0,0,0,1,1,6,C,0.77,0.62,17,財經學群,0.029513889,0.081597222,0.024305556,576,17,0,6,47,1,13,0.025925926,0.025925926,0.003703704,270,7,1,1,0,5
1,公立,國立政治大學,公共行政學系,國立政治大學公共行政學系,15,15法政學群,101,101行政管理學類,0001,國立政治大學,04134041,公共行政學系,000104134041,國立政治大學公共行政學系,357,13,63,30 臺北市,1 一般,3.64%,92,89,81,80,7,8,4.49%,2.29%,14,0.928571429,0.928571429,13,13,1.8,6.5,6,6.5,0,0,128,0.78125,0.21875,100,28,0,0,行政管理學類,ECA,0,0,1,0,1,1,EC,0,0,0,0,1,1,5,E,0.56,0.44,15,法政學群,0.086824124,0.288064468,0.060046189,433,35,1,9,106,6,20,0.021238938,0.021238938,0.008849558,565,12,1,5,0,6
1,公立,國立政治大學,地政學系,國立政治大學地政學系,16,16管理學群,110,110地政與土地資產管理學類,0001,國立政治大學,04134043,地政學系,000104134043,國立政治大學地政學系,711,23,170,30 臺北市,1 一般,3.23%,190,180,174,134,12,21,10.53%,3.04%,24,0.958333333,0.958333333,23,23,2.626193724,8.64,9.61,6.33,0,0,128,0.78125,0.21875,100,28,0,0,地政與土地資產管理學類,ECA,0,0,1,0,1,1,EC,0,0,0,0,1,1,5,R,0.33,0.27,16,管理學群,0.039780521,0.112482853,0.031550069,1458,58,3,18,164,4,42,0.023454158,0.022743426,0.009239517,1407,33,3,13,0,16
1,公立,國立政治大學,國際經營與貿易學系,國立政治大學國際經營與貿易學系,17,17財經學群,117,117國際企業學類,0001,國立政治大學,04141067,國際經營與貿易學系,000104141067,國立政治大學國際經營與貿易學系,457,23,120,30 臺北市,1 一般,5.03%,131,130,96,83,0,17,13.49%,3.86%,23,1,1,23,23,2.182175623,8.46,7.19,6.63,0,0,128,0.78125,0.21875,100,28,0,0,國際企業學類,EC,0,0,0,0,1,1,EC,0,0,0,0,1,1,6,E,0.62,0.49,17,財經學群,0.025669643,0.059151786,0.017857143,896,23,0,9,53,0,16,0.018181818,0.018181818,0.004545455,440,8,0,2,0,6
1,公立,國立政治大學,廣告學系,國立政治大學廣告學系,11,11大眾傳播學群,77,77廣告學類,0001,國立政治大學,04143055,廣告學系,000104143055,國立政治大學廣告學系,224,8,47,30 臺北市,1 一般,3.57%,0,0,98,102,0,24,,12.00%,8,1,1,8,8,13.5,5,7.5,0,0,0,128,0.78125,0.21875,100,28,0,0,廣告學類,AE,0,0,1,0,1,0,EA,0,0,1,0,1,0,6,E,0.63,0.38,11,大眾傳播學群,0.020588235,0.055882353,0,340,7,0,0,19,0,0,0.057142857,0.057142857,0,35,2,0,0,0,2
